"","lon","lat"
"3354",-87.6297982,41.8781136
"3355",-99.9018131,31.9685988
"3356",-100.3161126,25.6866142
"3357",-95.8897448,36.1908813
"3358",-95.8897448,36.1908813
"3359",-99.6556653,19.2826098
"3360",-122.6587185,45.5122308
"3361",NA,NA
"3362",-77.1945247,41.2033216
"3363",-95.144318,43.1450748
"3364",-99.133208,19.4326077
"3365",-80.4925337,43.4516395
"3366",-95.712891,37.09024
"3367",NA,NA
"3368",NA,NA
"3369",-84.3879824,33.7489954
"3370",-96.5991593,32.7667955
"3371",-96.5991593,32.7667955
"3372",-99.9057284,16.8537512
"3373",-101.6859605,21.1250077
"3374",NA,NA
"3375",NA,NA
"3376",-98.7591311,20.1010608
"3377",-98.7591311,20.1010608
"3378",NA,NA
"3379",-122.4194155,37.7749295
"3380",NA,NA
"3381",NA,NA
"3382",-95.712891,37.09024
"3383",-73.3467167,42.2024768
"3384",-73.3467167,42.2024768
"3385",-73.3467167,42.2024768
"3386",NA,NA
"3387",-88.7878678,43.7844397
"3388",NA,NA
"3389",NA,NA
"3390",-120.5542012,43.8041334
"3391",-120.5542012,43.8041334
"3392",-94.367996,36.8689554
"3393",-103.3496092,20.6596988
"3394",-100.9855409,22.1564699
"3395",NA,NA
"3396",-103.3496092,20.6596988
"3397",-103.3496092,20.6596988
"3398",-103.3496092,20.6596988
"3399",-103.3496092,20.6596988
"3400",-95.712891,37.09024
"3401",-95.712891,37.09024
"3402",-76.6310662,36.9823709
"3403",NA,NA
"3404",-81.5157535,27.6648274
"3405",NA,NA
"3406",-88.7878678,43.7844397
"3407",-107.4795173,25.1721091
"3408",-87.6297982,41.8781136
"3409",-95.712891,37.09024
"3410",-76.2858726,36.8507689
"3411",-101.2174256,27.9372635
"3412",-101.2174256,27.9372635
"3413",NA,NA
"3414",-71.0588801,42.3600825
"3415",-103.3496092,20.6596988
"3416",-89.0943377,20.7098786
"3417",-89.0943377,20.7098786
"3418",-82.9987942,39.9611755
"3419",-73.3467167,42.2024768
"3420",-87.151255,40.868284
"3421",NA,NA
"3422",-96.7025955,40.813616
"3423",-73.3467167,42.2024768
"3424",-73.3467167,42.2024768
"3425",-100.3161126,25.6866142
"3426",-100.3161126,25.6866142
"3427",-100.9855409,22.1564699
"3428",-100.9855409,22.1564699
"3429",-100.9855409,22.1564699
"3430",133.775136,-25.274398
"3431",-112.0740373,33.4483771
"3432",-90.0655187,38.8583014
"3433",-81.0767514,36.9051526
"3434",-76.4921829,38.9784453
"3435",NA,NA
"3436",NA,NA
"3437",NA,NA
"3438",NA,NA
"3439",-99.6556653,19.2826098
"3440",NA,NA
"3441",NA,NA
"3442",-99.6556653,19.2826098
"3443",-120.8024357,38.3929675
"3444",-97.678896,30.5082551
"3445",-99.6556653,19.2826098
"3446",-122.6587185,45.5122308
"3447",-75.1652215,39.9525839
"3448",-74.0059728,40.7127753
"3449",-73.3467167,42.2024768
"3450",-73.3467167,42.2024768
"3451",NA,NA
"3452",-122.6252431,45.5049376
"3453",NA,NA
"3454",NA,NA
"3455",NA,NA
"3456",NA,NA
"3457",-80.6075093,28.278369
"3458",-98.3021192,19.0765772
"3459",-95.712891,37.09024
"3460",-89.5925857,20.9673702
"3461",-99.8236533,16.8531086
"3462",NA,NA
"3463",-77.4360481,37.5407246
"3464",-95.712891,37.09024
"3465",-105.7820674,39.5500507
"3466",-74.0059728,40.7127753
"3467",-81.1637245,33.836081
"3468",-77.1527578,39.0839973
